Exchange,Type,Volume,TVL,OI,Token,Market Cap,FDV,Pairs,Date,Founder,Property,Backers,Censorship Risk,Collateral,DA Layer,Escape Hatch,Execution Env.,Feature Set,Hard Finality,Last edited time,Leverage,MM Structure,Maker Fees,Margin System,Mobile,New,Proof System,Scaling Tech,Security Model,Settlement Layer,Soft Finality,Speed,Spread,Taker Fees,Tech,Throughput,Users,Warning,cg_deriv_id,cg_id,custom_api_oi,custom_api_tvl,custom_api_volume,defillama id,defillama num id
Polyester(Not Live),dex,,,,,,,,,,https://polyester.com/?ref=S7T48ECW,Self-funded,,,,,,,,"August 4, 2025 1:24 PM",,,,,,🔥,,Yes,,,,,,,Fabric,,,,,,,,,,
Aster,dex,"$141,714,848.00","$379,513,381.23",,,,,42,,Captain(Anon),https://www.asterdex.com/en/referral/e9b0Db,"Coinmarketcap, Pancakeswap, Stader Labs, YZi Labs",,ANY,,N/A,On-Chain,MM Vault,6000ms,"August 4, 2025 1:24 PM",100x,asBNB : 15%,0.01%,"Cross margin, Isolated Margin",Webapp,🔥,,No,,BNB,6000ms,mid,,0.035%,BNB,20 txn/sec,,,,,,,,aster,1772
edgeX,dex,"$905,753,631.96","$119,267,705.14","$178,655,263.20",,,,46,,https://x.com/thedanyuan,https://pro.edgex.exchange/referral/landing/322111283,Amber Group,,USDT,Ethereum,,,MM Vault,13 minutes,"August 4, 2025 1:24 PM",100x,eLP : 114%,0.015%,Cross margin,Native,🔥,,Yes,,,1500ms,fast,,0.038%,ETH Appchain(Optimistic rollup),,,,,,,,,edgex,4954
Avantis,dex,"$82,292,446.00","$22,082,724.72",,,,,73,,Harsehaj Singh,https://www.avantisfi.com/referral?code=hansolar21,"Base Ecosystem Fund, Founders Fund, Galaxy, Modular Capital, Pantera Capital",,USDC,,N/A,On-Chain,"Commodities, FX, Vaults",13 minutes,"August 4, 2025 1:24 PM",75x,Junior Vault : 22.8% apr Senior Vault 21.9%,0.045%,Isolated Margin,Webapp,🔥,,No,,Base,1500ms,mid,,0.045%,Base,13 txn/sec,,,,,,,,avantis,4108
01exchange(Not Live),dex,,,,,,,,,@cited,https://01.xyz/,,,,,,,,,"August 4, 2025 1:24 PM",,,,,,🔥,,Yes,,,,,,,n1,,,,,,,,,,
Reya Network,dex,"$13,639,463.00","$24,281,098.63",,,,,60,,,https://app.reya.xyz/?referredBy=pkeehw54,"Amber, Brevan Howard Digital, Coinbase Ventures, Framework Ventures, Selini, Wintermute",,USDC,,,,,13 minutes,"August 4, 2025 1:24 PM",25x,,0.04%,,,🔥,,Yes,,,100ms,fast,,0.04%,ETH Appchain(Arbitrum Orbit),"30,000 orders/sec",,,,,,,,reya-dex,4978
Backpack,cex,"$550,629,147.96",,"$468,311,301.48",,,,33,,https://x.com/armaniferrante,https://backpack.exchange/join/fh94u85r,,N/A,ANY,N/A,N/A,N/A,"Lending, Spot",,"August 4, 2025 1:24 PM",50x,,0.02%,Cross margin,Native,🔥,N/A,No,N/A,N/A,,fast,,0.05%,Centralized Architecture,,,,Backpack (Futures),,,,,,
Valhalla(Invite Only),dex,,,,,,,,,https://x.com/tiagovalhalla,https://app.valhalla.exchange/trade/BTC,,,,,,,,,"August 4, 2025 1:24 PM",,,,,,🔥,,No,,,,,,,Solana Network Extension,,,,,,,,,,
Byreal(Not Live),dex,,,,,,,,,,https://x.com/byreal_io,,,,,,,,,"August 4, 2025 1:24 PM",,,,,,🔥,,Yes,,,,,,,,,,,,,,,,,
Perpl(Not Live),dex,,,,,,,,,https://x.com/0x70626a,https://x.com/perpltrade,"BREED, Brevan Howard Digital, CMS Holdings, Dragonfly Capital, Ergonia_, Hashkey Capital, L1D, Mirana Ventures",,,,,,,,"August 4, 2025 1:24 PM",,,,,,🔥,,Yes,,,,,,,,,,,,,,,,,
Bullet(V2 Not Live),dex,$0.00,"$4,513,636.13",,ZEX,"$14,981,219.00","$79,784,846.00",,,https://x.com/Tristan0x,https://x.com/bulletxyz_,,Centralized Sequencer,,Solana,Yes (Forced Withdrawal),Off-chain Sequencer,,2500ms,"August 4, 2025 1:24 PM",,,,,,🔥,ZK (RISC-V),Yes,ZK-Rollup Security,Solana,5ms,fast,,,ZK Solana Appchain (Sovereign SDK),High,,,,zeta,,,,zeta,1804
Deriverse,dex,,,,,,,,,,https://alpha.deriverse.io/#/lite/perp,,,,,,On-Chain,,12500ms,"August 4, 2025 1:24 PM",,,,,,🔥,,No,,,600ms,mid,,,Solana,,,,,,,,,,
Merkle Trade,dex,"$10,613,937.00","$5,029,227.36",,MKL,"$1,870,258.00","$6,106,155.00",55,,https://x.com/yeptos,https://merkle.trade/r/LO0S39XO,"Amber, Aptos, Arrington Capital, DoraHacks, Hashed, Morningstar Ventures, Re7 Capital",,USDC,,,,"Commodities, FX",750ms,"August 4, 2025 1:24 PM",150,MKLP: 27.88% APR,0.03%,Isolated Margin,Webapp,,,No,,,750ms,fast,,0.06%,Aptos,,,,,merkle-trade,,,,merkle-trade,3678
